simulation_id,scenario,tos,qos_class,offered_bandwidth,time_distribution,routing_hops,n_nodes,max_avg_lambda,link_bandwidth,scheduling_policy,tos_queue_weight,min_tos_weight,avg_delay,jitter,packet_loss_rate,delay_p10,delay_p50,delay_p90,actual_bandwidth,log_avg_delay
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,9216.0,0,3,6,9842.0,100000,WFQ,30.0,30.0,0.039445,0.000509,0.0,0.009,0.051,0.065174,9.23383,-3.232847982435084
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,3292.0,1,2,6,9842.0,100000,WFQ,10.0,10.0,0.025676,0.000181,0.0,0.01,0.024706,0.04316,3.28847,-3.662198575532605
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,8611.0,4,3,6,9842.0,100000,WFQ,10.0,10.0,0.038226,0.000527,0.0,0.009,0.051,0.064762,3.01809,-3.264239366619731
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,6543.0,1,3,6,9842.0,100000,WFQ,10.0,10.0,0.037759,0.000507,0.0,0.009,0.051,0.063623,6.55177,-3.2765314211063665
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,3100.0,1,1,6,9842.0,100000,WFQ,10.0,10.0,0.010956,5.9e-05,0.0,0.003,0.017,0.017,3.10187,-4.513868027581306
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,8081.0,4,1,6,9842.0,100000,WFQ,30.0,30.0,0.010013,4.8e-05,0.0,0.003,0.017,0.017,2.60309,-4.603871030256472
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,6954.0,0,1,6,9842.0,100000,WFQ,30.0,30.0,0.013022,4.4e-05,0.0,0.005,0.012867,0.022576,6.92722,-4.341115044167466
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,7195.0,1,2,6,9842.0,100000,WFQ,30.0,30.0,0.022224,8.7e-05,0.0,0.01,0.020482,0.034509,7.20235,-3.8065824929701493
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,9439.0,0,2,6,9842.0,100000,WFQ,10.0,10.0,0.029063,0.000308,0.0,0.006,0.034,0.050083,9.41013,-3.538289391481479
results_qos_sdwan_0_9_2,A_wfq_fixed,0,Gold,8794.0,1,1,6,9842.0,100000,WFQ,60.0,60.0,0.010947,5.7e-05,0.0,0.003,0.017,0.017,8.79857,-4.514689832859717
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,8317.0,0,1,6,9842.0,100000,WFQ,30.0,30.0,0.011346,3.8e-05,0.0,0.005,0.01,0.018912,8.33563,-4.4788900200777615
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,5619.0,4,2,6,9842.0,100000,WFQ,10.0,10.0,0.026723,0.000198,0.0,0.01,0.026577,0.044947,1.95114,-3.622230661167007
